errata_header,errata_text,question,answer,applies_to
"Covenite Coterie Detachment, Connoisseurs of Pain Stratagem, Effect Section","Change to: | 'Spend 1 Pain Token. Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1. At the end of the phase, if your unit is still on the battlefield and it is a **HAEMONCULUS COVENS** unit, you gain 1 Pain Token.'",,,stratagem
"Berzerker's Wrath Stratagem, Target and Effect Sections","Change to: | **'TARGET**: One **KHORNE BERZERKERS** unit from your army that can make a **surge move** as a result of those attacks. | **EFFECT**: Do not roll a D6 to determine how far models in your unit can move when they make a **surge move**. Instead, when making a **surge move**, those models can move up to 8"".'",,,stratagem
"Nephilim Jetfighter, Ravenwing Dark Talon",■ **Core Abilities**: Remove 'Hover'. | ■ **Profile**: Change **M** and **OC** to '-'.,,,datasheet: Nephilim Jetfighter; datasheet: Ravenwing Dark Talon
"Kauyon Detachment, Through Unity, Devastation Enhancement","Change to: | '**T'AU EMPIRE** model only (excluding **KROOT** **SHAPER** models). While the bearer is leading a unit, each time that unit is an Observer unit, until the end of the phase, ranged weapons equipped by models in a Guided unit have the **[LETHAL HITS]** ability while targeting their Spotted unit.'",,,enhancement
"Grizzled Company Detachment, Additional Armour Stratagem, Effect Section","Change to: | Effect: ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
18.05 - Change to Emergency Disembark Move,"WHILE MOVING: Set up each model in your unit: | - Wholly within the set-up distance of that TRANSPORT, and as close as possible to that TRANSPORT. | - Or: If the above is not possible while remaining unengaged, set up that model wholly within the set-up distance of that TRANSPORT, as close as possible to that TRANSPORT, and engaged. | Each model that still cannot be set up is destroyed.",,,
"Vanguard Onslaught, Neuronode Enhancement","Change to: | ‘**TYRANIDS** model only. After both players have deployed their armies, you can select up to three **VANGUARD INVADER** units from your army and redeploy all of those units. When doing so, any of those units can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves.’",,,
"Saga of the Beastslayer Detachment, Wolf-touched Enhancement","Change to: | '**SPACE WOLVES** model only. Add 2"" to the Move characteristic of the bearer. In the Declare Battle Formations step, the bearer can be attached to a **WULFEN INFANTRY** unit.'",,,enhancement
"Brandfast Oathband Detachment, Secure Positions Stratagem","Change to: | ‘**WHEN**: End of any of your phases, if units from your army have Hostile Acquisition. | **TARGET**: One **LEAGUES OF VOTANN TRANSPORT** unit from your army. | **EFFECT**: One **LEAGUES OF VOTANN** unit embarked within your **TRANSPORT** can disembark. When doing so, models in that unit can be set up anywhere on the battlefield wholly within 6"" of your **TRANSPORT**. That unit cannot declare a charge in the same turn, but can otherwise act normally in the remainder of the turn.’",,,stratagem
"Serpent's Brood Detachment, Weaving Stride Stratagem, Target Section","Change 9"" to 8""",,,stratagem
"Bringers of Flame Detachment, Shield of Aversion Stratagem, Effect Section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Auric Champions Detachment, Martial Philosopher Enhancement","Change third sentence to: | 'Once per battle, in your opponent's Movement phase, when an enemy unit ends a Normal, Advance or Fall Back move within 8"" of the bearer, if the bearer's unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6"".'",,,enhancement
IMPERIAL ARMOUR - Orion Assault Dropship Keywords section,The following units lose the Aircraft keyword: | Orion Assault Dropship,,,datasheet: Orion Assault Dropship
"Cybernetica Datasmith, Core Abilities section","Remove 'Leader', add 'Support'.",,,datasheet: Cybernetica Datasmith
"Companions of Vehemence Detachment, Heresy Begets Retribution Stratagem, Effect Section","Change to: | 'Your unit can make a surge move of up to D6"".'",,,stratagem
"The Angelic Host, The Lost Brethren, Liberator Assault Group Detachments – Restrictions","Add the following restriction: | ‘Your army can include **BLOOD ANGELS** units, but it cannot include any **ADEPTUS ASTARTES** units drawn from any other Chapter.’",,,detachment
"Tallyband Summoners Detachment, Beckoning Blight Enhancement","Change to: | ‘**DEATH GUARD** model only. Each time a **PLAGUE LEGIONS** unit from your army is set up on the battlefield using the Deep Strike ability, if it is set up wholly within 12"" of the bearer, it can be set up anywhere that is more than 6"" horizontally away from all enemy models, instead of more than 8"".’",,,enhancement
Corvus Blackstar,"■ **Profile**: Change **M** to 14"" | ■ **Keywords**: Remove **AIRCRAFT**",,,datasheet: Corvus Blackstar
Chaos Land Raider and Chaos Rhino – Keywords Section,Add 'FRAME'.,,,datasheet: Chaos Land Raider; datasheet: Chaos Rhino
"Emperor's Shield, Forgefather's Seekers, Hammer of Avernii, Armoured Speartip, Ceramite Sentinels, Headhunter Task Force, Spearpoint Task Force, Shadowmark Talon, Blade of Ultramar, Anvil Siege Force, 1st Company Task Force, Firestorm Assault Force, Gladius Task Force, Ironstorm Spearhead, Stormlance Task Force, Vanguard Spearhead Detachments - Armour of Contempt Stratagem, Effect Section","Change to: | **Effect**: ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
Manta,"■ **Profile**: Change **M** to '40""' and **OC** to '-'.",,,datasheet: Manta
The Angelic Host Detachment,"■ Gleaming Pinions Enhancement | Change to: | '**ADEPTUS ASTARTES JUMP PACK** model only. In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to 6”.' | ■ Death from the Skies Stratagem | Change to: | ‘**WHEN**: Your Movement phase, just after an **ADEPTUS ASTARTES JUMP PACK** unit from your army Advances or Falls Back.' | **TARGET**: That **ADEPTUS ASTARTES** **JUMP PACK** unit. | **EFFECT**: Until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Advanced or Fell Back.’ | ■ Descent of Angels Stratagem, Effect section | Change 3"" to 6"".",,,enhancement; stratagem
"Deathshroud Terminators, Death Approaches ability","Change to: | 'Each time this unit is set up on the battlefield using the Deep Strike ability, it can be set up anywhere on the battlefield that is more than 6"" horizontally away from all Afflicted enemy units, and more than 8"" horizontally away from all other enemy units.’",,,datasheet: Deathshroud Terminators
"Deathwatch Terminators, Teleport Homer Ability","Change 9"" to: 8""",,,datasheet: Deathwatch Terminator Squad
"Carnival of Excess Detachment, Empyric Suffusion Enhancement","Change to: '**EMPEROR'S CHILDREN** model only. When you target this unit with the **Heroic Intervention stratagem**, that use is -1 CP.'",,,enhancement
AX-1-0 Tiger Shark,■ **Profile**: Change **M** and **OC** to '-'.,,,datasheet: AX-1-0 Tiger Shark
"Headhunter Task Force Detachment, Reactive Positioning Stratagem, Target Section",Change 9” to: 8”,,,
"Persection Prosepct Detachment, Claimstaker Reflex Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
,,"When replacing the datasheet abilities of the bearer of the Soul Link Enhancement with those of the selected **CHARACTER** model, does this include Core and Faction abilities?",Yes.,enhancement
"Stormtalon Gunship, Stormhawk Interceptor",■ **Core Abilities**: Remove 'Hover'. | ■ **Profile**: Change **M** and **OC** to '-'.,,,datasheet: Stormhawk Interceptor; datasheet: Stormtalon Gunship
"Ordo Xenos Alien Hunters Detachment, Armour of Contempt Stratagem, Effect Section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
Heldrake,"■ **Profile**: Change **M** to 12"" and **OC** to '-'. | ■ **Keywords**: Remove 'AIRCRAFT'.",,,datasheet: Heldrake
"Blood Legion Detachment, Fools' Flight stratagem, When, Target and Effect Sections","Change to: | '**WHEN**: Your opponent’s Movement phase, when an enemy unit ends a fall‑back move. | **TARGET**: One friendly unengaged **LEGIONES DAEMONICA KHORNE** unit that is within 6"" of that enemy unit. | **EFFECT**: Declare a charge with your unit. When selecting charge targets, you can only select enemy units that made a fall‑back move this phase and are within the maximum distance.'",,,detachment
"Canoptek Court Detachment, Cynosure of Eradication Stratagem, Effect Section","Change to: | ‘Until the end of the phase, weapons equipped by **CRYPTEK** or **CANOPTEK** models in your unit have the **[DEVASTATING WOUNDS]** ability.’",,,stratagem
"Biosantic Broodsurge Detachment, Stimulated Bio-surge Stratagem, Effect section",Change to: | 'Your unit has +2 to **charge rolls**.',,,stratagem
"Valourstrike Lance Detachment, Run Them Through! Stratagem, Target Section",Change to: | ‘One **IMPERIAL KNIGHTS** unit from your army that has not been selected to fight this phase.’,,,stratagem
"Harbingers of Dread, ‘Darkness’ Dread ability",Change to: | ‘This model has **Stealth**.’,,,army rule: Harbingers of Dread
"Covenite Coterie Detachment, Enfolding Nightmare Stratagem, Effect Section","Change to: | 'Your unit can make a surge move of up to D6"".'",,,stratagem
"Bully Boyz Detachment, Da Boss Is Watchin’ Detachment Rule","Change to: | ‘At the start of your Command phase, in a turn in which you have not called a Waaagh!, if you have one or more **WARBOSS** models on the battlefield (or embarked within a **TRANSPORT** that is on the battlefield), you can call a Waaagh! for a second time this battle. When doing so, that second Waaagh! only counts as having been called for **WARBOSS**, **NOBZ** and **MEGANOBZ** units from your army.’",,,detachment
Surprise Assault Stratagem,"Change to: | ‘**WHEN**: Your Shooting phase or the Fight phase, just after a **VANGUARD INVADER** unit from your army has selected its targets. | **TARGET**: That **VANGUARD INVADER** unit. | **EFFECT**: Select one enemy unit that was selected as the target of one or more of your unit’s attacks. That enemy unit must take a Battle-shock test. Until the end of the phase, each time a model in your unit makes an attack that targets that enemy unit, add 1 to the Hit roll. If the Battle-shock test was failed, add 1 to the Wound roll as well.’",,,
